image_id;strategy;precision;recall;f1;strategy;precision;recall;f1;strategy;precision;recall;f1
MoNuSeg/gt/TCGA-AC-A2FO-01A-01-TS1.png;moments;0.7074074074074074;0.2153325817361894;0.3301642178046672;otsu;0.7584097859327217;0.2863741339491917;0.41575859178541497;triangle;0.9405204460966543;0.6364779874213836;0.7591897974493623
MoNuSeg/gt/TCGA-G9-6336-01Z-00-DX1.png;moments;0.41025641025641024;0.2831858407079646;0.33507853403141363;otsu;0.4188034188034188;0.29080118694362017;0.34325744308231176;triangle;0.4489795918367347;0.3363914373088685;0.3846153846153846
MoNuSeg/gt/TCGA-49-4488-01Z-00-DX1.png;moments;0.8390243902439024;0.5639344262295082;0.6745098039215686;otsu;0.799492385786802;0.5080645161290323;0.621301775147929;triangle;0.6177606177606177;0.23809523809523808;0.34371643394199786
MoNuSeg/gt/TCGA-2Z-A9J9-01A-01-TS1.png;moments;0.9399624765478424;0.570615034168565;0.7101346562721474;otsu;0.9440559440559441;0.6164383561643836;0.7458563535911603;triangle;0.9425493716337523;0.5986316989737742;0.7322175732217573
MoNuSeg/gt/TCGA-18-5592-01Z-00-DX1.png;moments;0.6220472440944882;0.29044117647058826;0.39598997493734334;otsu;0.5863636363636363;0.23201438848920863;0.3324742268041237;triangle;0.6758620689655173;0.37404580152671757;0.48157248157248156
MoNuSeg/gt/TCGA-GL-6846-01A-01-BS1.png;moments;0.8229166666666666;0.6914660831509847;0.7514863258026159;otsu;0.8226221079691517;0.700218818380744;0.756501182033097;triangle;0.823076923076923;0.7039473684210527;0.7588652482269503
MoNuSeg/gt/TCGA-E2-A14V-01Z-00-DX1.png;moments;0.7994011976047904;0.5028248587570622;0.6173410404624278;otsu;0.8107255520504731;0.4803738317757009;0.6032863849765259;triangle;0.8063063063063063;0.3129370629370629;0.45088161209068006
MoNuSeg/gt/TCGA-A6-6782-01A-01-BS1.png;moments;0.9009216589861752;0.6527545909849749;0.7570183930300096;otsu;0.8891402714932126;0.656093489148581;0.7550432276657061;triangle;0.9110070257611241;0.6494156928213689;0.7582846003898636
MoNuSeg/gt/TCGA-HC-7209-01A-01-TS1.png;moments;0.8090185676392573;0.6931818181818182;0.7466340269277847;otsu;0.8105263157894737;0.7015945330296127;0.7521367521367521;triangle;0.8075880758807588;0.672686230248307;0.7339901477832511
MoNuSeg/gt/TCGA-AR-A1AS-01Z-00-DX1.png;moments;0.9122807017543859;0.5324232081911263;0.6724137931034482;otsu;0.9135446685878963;0.5437392795883362;0.6817204301075269;triangle;0.9065656565656566;0.6243478260869565;0.7394438722966015
MoNuSeg/gt/TCGA-G9-6363-01Z-00-DX1.png;moments;0.5546218487394958;0.29596412556053814;0.38596491228070184;otsu;0.5339366515837104;0.25877192982456143;0.34859675036927623;triangle;0.5527272727272727;0.3486238532110092;0.42756680731364277
MoNuSeg/gt/TCGA-G2-A2EK-01A-02-TSB.png;moments;0.8656716417910447;0.6203208556149733;0.7227414330218067;otsu;0.8620689655172413;0.6238859180035651;0.7238883143743536;triangle;0.8515981735159818;0.6696588868940754;0.7497487437185929
MoNuSeg/gt/TCGA-A7-A13F-01Z-00-DX1.png;moments;0.8408408408408409;0.6407322654462243;0.7272727272727273;otsu;0.8513931888544891;0.6264236902050114;0.7217847769028871;triangle;0.8362989323843416;0.5131004366812227;0.6359945872801083
MoNuSeg/gt/TCGA-DK-A2I6-01A-01-TS1.png;moments;0.7331288343558282;0.5636792452830188;0.6373333333333333;otsu;0.7506775067750677;0.6739659367396593;0.7102564102564103;triangle;0.7634408602150538;0.6995073891625616;0.7300771208226222
MoNuSeg/gt/TCGA-21-5786-01Z-00-DX1.png;moments;0.5951417004048583;0.3387096774193548;0.4317180616740088;otsu;0.61003861003861;0.3700234192037471;0.4606413994169096;triangle;0.6871165644171779;0.5656565656565656;0.6204986149584487
MoNuSeg/gt/TCGA-69-7764-01A-01-TS1.png;moments;0.9121140142517815;0.6597938144329897;0.765702891326022;otsu;0.9119047619047619;0.6580756013745704;0.7644710578842315;triangle;0.9121140142517815;0.6597938144329897;0.765702891326022
MoNuSeg/gt/TCGA-CH-5767-01Z-00-DX1.png;moments;0.9639175257731959;0.5968085106382979;0.7371879106438897;otsu;0.9615384615384616;0.5555555555555556;0.7042253521126761;triangle;0.9681208053691275;0.615795090715048;0.7527723418134377
MoNuSeg/gt/TCGA-AR-A1AK-01Z-00-DX1.png;moments;0.8534031413612565;0.6093457943925233;0.7110141766630317;otsu;0.8548812664907651;0.6044776119402985;0.7081967213114753;triangle;0.8121827411167513;0.26622296173044924;0.40100250626566414
MoNuSeg/gt/TCGA-44-2665-01B-06-BS6.png;moments;0.9607843137254902;0.47996438112199463;0.6401425178147269;otsu;0.9537892791127541;0.4574468085106383;0.6183343319352905;triangle;0.9700787401574803;0.5534591194968553;0.7048054919908467
MoNuSeg/gt/TCGA-NH-A8F7-01A-01-TS1.png;moments;0.8046875;0.6602564102564102;0.7253521126760563;otsu;0.8097686375321337;0.6745182012847966;0.735981308411215;triangle;0.8260869565217391;0.7006507592190889;0.7582159624413144
MoNuSeg/gt/TCGA-B0-5710-01Z-00-DX1.png;moments;0.9959349593495935;0.4754973313925279;0.6436781609195402;otsu;0.9936775553213909;0.45710130877363064;0.6261620185922976;triangle;0.9907651715039578;0.3607108549471662;0.5288732394366198
MoNuSeg/gt/TCGA-A7-A13E-01Z-00-DX1.png;moments;0.9642301710730948;0.5990338164251208;0.738974970202622;otsu;0.9627906976744186;0.6;0.7392857142857143;triangle;0.9173553719008265;0.09430756159728122;0.17103235747303544
